UKPRN,PrivateBeta,Provider Name,Provider Type,HEI subsidiary
10001201,N,CARMEL COLLEGE,Statutory FE Sector - Sixth Form College,
10001416,N,CHRIST THE KING SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10001446,N,CIRENCESTER COLLEGE,Statutory FE Sector - Sixth Form College,
10002770,N,GREENHEAD COLLEGE,Statutory FE Sector - Sixth Form College,
10003128,Y,HOLY CROSS COLLEGE,Statutory FE Sector - Sixth Form College,
10003188,N,HUDDERSFIELD NEW COLLEGE,Statutory FE Sector - Sixth Form College,
10003427,N,ITCHEN COLLEGE,Statutory FE Sector - Sixth Form College,
10003491,N,JOHN LEGGOTT SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10003511,N,JOSEPH CHAMBERLAIN SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10003899,N,LEYTON SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10004108,N,LORETO COLLEGE,Statutory FE Sector - Sixth Form College,
10004125,N,LUTON SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10004785,N,NOTRE DAME CATHOLIC SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10005072,N,PETER SYMONDS COLLEGE,Statutory FE Sector - Sixth Form College,
10005687,N,SCARBOROUGH SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10005822,N,SHREWSBURY COLLEGE,Statutory FE Sector - Sixth Form College,
10005859,N,SIR GEORGE MONOUX COLLEGE,Statutory FE Sector - Sixth Form College,
10006130,N,ST BRENDAN'S SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10006135,N,ST CHARLES CATHOLIC SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10006148,N,ST DOMINIC'S SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10008007,N,ST FRANCIS XAVIER SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10006195,N,ST JOHN RIGBY RC SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10003011,N,THE HENLEY COLLEGE,Statutory FE Sector - Sixth Form College,
10007212,N,VARNDEAN COLLEGE,Statutory FE Sector - Sixth Form College,
10007503,Y,WILBERFORCE COLLEGE,Statutory FE Sector - Sixth Form College,
10007546,N,WINSTANLEY COLLEGE,Statutory FE Sector - Sixth Form College,
10007671,N,WQE AND REGENT COLLEGE GROUP,Statutory FE Sector - Sixth Form College,
10007673,N,WYKE SIXTH FORM COLLEGE,Statutory FE Sector - Sixth Form College,
10007682,N,XAVERIAN COLLEGE,Statutory FE Sector - Sixth Form College,
